Ticker,Stock Price,Market Capitalization,Number of Share to Buy
A,$155.08,47058647356.00,18.00
AAL,$22.02,13697949500.00,130.00
AAP,$213.33,13729929363.00,13.00
AAPL,$141.25,2343545365816.00,20.00
ABBV,$115.40,205432296870.00,24.00
ABC,$120.35,24612108619.00,23.00
ABMD,$329.77,14475261495.00,8.00
ABT,$119.00,212660174035.00,24.00
ACN,$302.33,211293412626.00,9.00
ADBE,$605.48,289582114006.00,4.00
ADI,$171.78,65845990651.00,16.00
ADM,$62.54,33973816805.00,46.00
ADP,$203.52,86712122862.00,14.00
ADSK,$301.40,65564692668.00,9.00
AEE,$82.12,21139933143.00,35.00
AEP,$86.76,44009984417.00,33.00
AES,$26.39,17604000678.00,109.00
AFL,$56.23,37135434253.00,51.00
AIG,$48.39,43079112717.00,59.00
AIV,$7.02,1037728349.00,410.00
AIZ,$161.04,9759952685.00,17.00
AJG,$141.41,29796433493.00,20.00
AKAM,$118.95,19852016155.00,24.00
ALB,$180.60,20784878662.00,15.00
ALGN,$621.71,50337343394.00,4.00
ALK,$61.71,7821301979.00,46.00
ALL,$133.48,40677809538.00,21.00
ALLE,$146.77,12751723169.00,19.00
ALXN,$190.90,41145896887.00,15.00
AMAT,$145.38,130125114641.00,19.00
AMCR,$11.57,18593689916.00,249.00
AMD,$96.07,117288302217.00,30.00
AME,$139.87,31195210904.00,20.00
AMGN,$256.50,146603852819.00,11.00
AMP,$262.00,29665261692.00,11.00
AMT,$280.11,125161019443.00,10.00
AMZN,$3511.79,1807946216985.00,0.00
ANET,$366.95,27888792178.00,7.00
ANSS,$354.78,31558803746.00,8.00
ANTM,$384.62,97530319463.00,7.00
AON,$248.18,54276140921.00,11.00
AOS,$71.97,11778161767.00,40.00
APA,$21.80,8541374697.00,132.00
APD,$297.00,65589132085.00,9.00
APH,$70.27,42653939722.00,41.00
APTV,$165.06,44235624353.00,17.00
ARE,$186.10,28220451985.00,15.00
ATO,$98.18,12718039811.00,29.00
ATVI,$95.44,76767353167.00,30.00
AVB,$214.77,29960603432.00,13.00
AVGO,$484.22,203135565192.00,5.00
AVY,$218.70,17498334942.00,13.00
AWK,$162.04,28466183948.00,17.00
AXP,$176.22,140622165658.00,16.00
